name,addresslines,hours_open_per_week,gc_status_rel,has_lu,has_cl,has_wa,has_vs,zipcode,storenumber,revenue
7000 Austin Street,"7000 Austin Street,Forest Hills, NY 11375",108.0,0.97,1,1,1,1,11375,7217-623,1016898.4125579556
107-12 Continental Avenue,"107-12 Continental Avenue,Forest Hills, NY 11375",116.5,0.95,1,0,1,0,11375,7349-910,447064.6235344879
Stop & Shop-Forest Hills #539,"8989 Union Turnpike,Forest Hills, NY 11375",112.0,0.97,0,0,1,0,11375,73708-104729,702807.074005489
Queens Blvd & 67th Rd,"10102 Queens Blvd.,Forest Hills, NY 11375",114.5,0.97,1,0,1,1,11375,7897-82740,283190.753428042
118-24 Queens Blvd,"118-24 Queens Blvd,Kew Gardens, NY 11415",114.0,0.95,1,0,1,1,11415,11933-106885,367299.3768412837
Shops at Atlas Park,"8000 Cooper Avenue,Glendale, NY 11385",111.0,0.94,1,0,1,1,11385,11812-106572,1467961.0825994622
95-17 63rd Drive,"95-17 63rd Drive,Rego Park, NY 11374",114.0,0.95,1,0,1,1,11374,24165-236144,352642.09620003117
59-17 Junction Blvd,"59-17 Junction Blvd,Elmhurst, NY 11373",114.5,0.91,1,0,1,0,11373,57154-291133,601162.7798733397
Queens Center Mall,"90-15 Queens Boulevard,K203,Elmhurst, NY 11373",89.5,0.91,1,0,1,0,11373,2787-35599,421596.08443307225
132-40 Metropolitan Ave,"132-40 Metropolitan Ave,Richmond Hill, NY 11418",112.0,0.95,1,0,1,1,11418,21514-211004,1192407.684206064
Target Queens Place T-1344,"8801 Queens Blvd,Elmhurst, NY 11373",97.0,0.94,0,0,1,0,11373,13133-113948,347987.66243344045
Queens Blvd & Broadway,"86-51 Broadway,Elmhurst, NY 11373",112.0,0.81,1,0,1,1,11373,17202-177784,641696.8643285825
74-25 Grand Ave.-Shops at Grand,"74-25 Grand Ave.,Maspeth, NY 11373",113.5,0.91,1,0,1,0,11373,54304-286369,868580.8713327503
89th Ave & Sutphin Blvd.,"8900 Sutphin Blvd.,Jamaica, NY 11435",102.0,0.94,1,0,1,0,11435,25685-242005,757363.3189982704
New York Presbyterian Queens,"56-45 MAIN STREET,FLUSHING, NY 11355",100.0,0.91,0,0,0,0,11355,55519-278767,649156.2972838678
159-27 Jamaica Ave.,"159-27 jamaica Ave.,Jamaica, NY 11432",105.0,0.92,1,0,1,0,11432,48116-261453,1255314.965819716
St. John's University - Queens,"8000 Utopia Pkwy,Jamaica, NY 11432",105.0,0.91,0,0,0,0,11432,3928-138154,1401523.6864410006
78-25 37th Avenue,"78-25 37th Avenue,Jackson Heights, NY 11372",121.5,0.95,1,0,1,0,11372,14317-120366,259098.98357034032
Target Flushing T-2451,"40-24 College Point Blvd,Flushing, NY 11354",87.0,0.95,0,0,0,0,11354,9077-145446,354387.31150303787
Resorts World Casino New York City,"11000 Rockaway Blvd,2nd Floor,Jamaica, NY 11420",84.0,0.94,0,0,0,0,11420,24283-209146,810453.362725444
329 Wyckoff Ave.,"329 Wyckoff Ave.,Ridgewood, NY 11385",110.5,0.94,1,0,1,1,11385,25040-239644,400604.3472698688
3805 Main St,"3805 Main St,Flushing, NY 11354",115.0,0.94,1,0,1,0,11354,23593-231144,447177.0302173993
157-41 Cross Bay Blvd.,"157-41 Cross Bay Blvd.,Howard Beach, NY 11414",118.5,0.96,1,0,1,1,11414,7492-8546,1509897.078049439
188th Street & 64th Ave,"61-51 188th Street,Fresh Meadows, NY 11365",126.0,0.95,1,0,1,1,11365,7296-1042,539526.913141458
Tower Square Shopping Center,"51-06 Northern Blvd,Woodside, NY 11377",113.0,0.92,1,0,1,0,11377,7910-87753,626907.578025289
46-09 Queens Blvd,"46-09 Queens Blvd.,Sunnyside, NY 11104",124.5,0.91,1,0,1,1,11104,11370-105177,326309.7641719441
Target Gateway T-1401,"519 Gateway Dr,Brooklyn, NY 11239",92.0,0.94,0,0,0,0,11239,15847-160724,446640.7741290967
31-44 Steinway Street,"31-44 Steinway Street,Astoria, NY 11103",111.0,0.91,1,0,1,1,11103,7567-18640,523128.7120210821
35th Ave and 37th St,"3711 35th Avenue,Astoria, NY 11101",111.0,0.94,1,1,1,0,11101,9663-97893,319693.6605657929
774 Broadway,"774 Broadway,Brooklyn, NY 11206",95.0,0.88,1,0,1,0,11206,50622-275624,553990.5346826361
32-02 Francis Lewis Blvd.,"32-02 Francis Lewis Blvd,Flushing, NY 11358",114.5,0.95,1,0,1,0,11358,52530-281706,697120.2983871436
